,source,NR,WR,SR,ER,NER,All India,date
0,Hydro,139.0,43.0,72.0,30.0,7.0,292,2013-03-31
1,Total,675.0,820.0,697.0,306.0,28.0,2526,2013-03-31
2,Wind Gen(MU),2.0,19.0,13.0,0.0,0.0,34,2013-03-31
3,Hydro,137.0,43.0,83.0,32.0,5.0,300,2013-04-01
4,Total,683.0,841.0,706.0,316.0,29.0,2575,2013-04-01
5,Wind Gen(MU),7.0,21.0,19.0,0.0,0.0,48,2013-04-01
6,Wind Gen(MU),8.0,25.0,15.0,0.0,0.0,48,2013-04-02
7,Total,675.0,836.0,709.0,311.0,28.0,2558,2013-04-02
8,Hydro,136.0,42.0,79.0,29.0,4.0,290,2013-04-02
9,Total,676.0,835.0,705.0,307.0,28.0,2551,2013-04-03
10,Hydro,135.0,42.0,80.0,38.0,4.0,299,2013-04-03
11,Wind Gen(MU),3.0,22.0,6.0,0.0,0.0,31,2013-04-03
12,Total,691.0,856.0,711.0,302.0,26.0,2586,2013-04-04
13,Hydro,133.0,44.0,78.0,38.0,5.0,297,2013-04-04
14,Wind Gen(MU),3.0,23.0,15.0,0.0,0.0,42,2013-04-04
15,Hydro,127.0,48.0,87.0,37.0,4.0,303,2013-04-05
16,Total,673.0,855.0,707.0,305.0,26.0,2566,2013-04-05
17,Wind Gen(MU),2.0,19.0,21.0,0.0,0.0,41,2013-04-05
18,Wind Gen(MU),8.0,20.0,34.0,0.0,0.0,61,2013-04-06
19,Total,678.0,856.0,717.0,311.0,27.0,2588,2013-04-06
20,Hydro,127.0,40.0,80.0,35.0,4.0,285,2013-04-06
21,Hydro,127.0,33.0,66.0,36.0,4.0,265,2013-04-07
22,Wind Gen(MU),13.0,25.0,16.0,0.0,0.0,53,2013-04-07
23,Total,677.0,842.0,697.0,308.0,27.0,2552,2013-04-07
24,Hydro,136.0,45.0,71.0,41.0,4.0,298,2013-04-08
25,Wind Gen(MU),13.0,18.0,15.0,0.0,0.0,47,2013-04-08
26,Total,692.0,876.0,715.0,314.0,27.0,2624,2013-04-08
27,Hydro,137.0,50.0,70.0,44.0,3.0,303,2013-04-09
28,Total,696.0,876.0,721.0,326.0,28.0,2647,2013-04-09
29,Wind Gen(MU),9.0,16.0,13.0,0.0,0.0,38,2013-04-09
30,Hydro,126.0,47.0,79.0,52.0,3.0,308,2013-04-10
31,Total,669.0,883.0,717.0,325.0,27.0,2620,2013-04-10
32,Wind Gen(MU),2.0,18.0,18.0,0.0,0.0,39,2013-04-10
33,Hydro,122.0,43.0,75.0,44.0,4.0,289,2013-04-11
34,Wind Gen(MU),4.0,19.0,18.0,0.0,0.0,41,2013-04-11
35,Total,692.0,873.0,709.0,327.0,27.0,2628,2013-04-11
36,Hydro,123.0,49.0,69.0,39.0,4.0,284,2013-04-12
37,Wind Gen(MU),3.0,26.0,9.0,0.0,0.0,39,2013-04-12
38,Total,699.0,881.0,715.0,320.0,28.0,2643,2013-04-12
